Company Name,Form Type,CIK,Date Filed,File Name,Error
Altair Advisers LLC,13F-NT,1624489,20240215,edgar/data/1624489/0001624489-24-000002.txt,AUM not found or could not be parsed
Baker Hughes Co,13F-NT,1701605,20240215,edgar/data/1701605/0001555301-24-000006.txt,AUM not found or could not be parsed
CLARK FINANCIAL SERVICES GROUP INC,/BD,13F-HR,1001011,20240215,HTTP 404
Christy Capital Management,13F-NT,2012167,20240215,edgar/data/2012167/0002012167-24-000001.txt,AUM not found or could not be parsed
"Attucks Asset Management, LLC",13F-NT,1451086,20240215,edgar/data/1451086/0001451086-24-000001.txt,AUM not found or could not be parsed
"Jane Street Global Trading, LLC",13F-NT,1450705,20240215,edgar/data/1450705/0001595888-24-000034.txt,AUM not found or could not be parsed
"Jane Street Capital, LLC",13F-NT,1450698,20240215,edgar/data/1450698/0001595888-24-000032.txt,AUM not found or could not be parsed
"JSOIN (BVI), Ltd.",13F-NT,1556329,20240215,edgar/data/1556329/0001595888-24-000035.txt,AUM not found or could not be parsed
JWM Capital LLC,13F-NT,1387302,20240215,edgar/data/1387302/0001387303-24-000004.txt,AUM not found or could not be parsed
LGIM Singapore PTE Ltd,13F-NT,2000219,20240215,edgar/data/2000219/0002000219-24-000003.txt,AUM not found or could not be parsed
Legal & General Investment Management America Inc,13F-NT,1559265,20240215,edgar/data/1559265/0001559265-24-000001.txt,AUM not found or could not be parsed
Jane Street Europe Ltd,13F-NT,1907807,20240215,edgar/data/1907807/0001595888-24-000036.txt,AUM not found or could not be parsed
"Jane Street Options, LLC",13F-NT,1450709,20240215,edgar/data/1450709/0001595888-24-000033.txt,AUM not found or could not be parsed
J O HAMBRO CAPITAL MANAGEMENT LTD,13F-NT,940755,20240215,edgar/data/940755/0001104659-24-024314.txt,AUM not found or could not be parsed
Legal & General Investment Management Ltd,13F-NT,1495115,20240215,edgar/data/1495115/0001495115-24-000007.txt,AUM not found or could not be parsed
Moon John W,13F-NT,1387300,20240215,edgar/data/1387300/0001387303-24-000005.txt,AUM not found or could not be parsed
Pendal Group Ltd,13F-NT,1541741,20240215,edgar/data/1541741/0001104659-24-024324.txt,AUM not found or could not be parsed
Perpetual Investment Management Ltd,13F-NT,1570625,20240215,edgar/data/1570625/0001104659-24-024317.txt,AUM not found or could not be parsed
Pitcairn Trust Co LLC,13F-NT,846620,20240215,edgar/data/846620/0001398344-24-003221.txt,AUM not found or could not be parsed
SWISS REINSURANCE CO LTD,13F-NT,315043,20240215,edgar/data/315043/0001027848-24-000002.txt,AUM not found or could not be parsed
"VIRTUS ALTERNATIVE INVESTMENT ADVISERS, INC.",13F-NT,1591068,20240215,edgar/data/1591068/0000883237-24-000017.txt,AUM not found or could not be parsed
Torrington Savings Bank,13F-NT,1755765,20240215,edgar/data/1755765/0001755765-24-000001.txt,AUM not found or could not be parsed
"WESTCHESTER CAPITAL PARTNERS, LLC",13F-NT,1277372,20240215,edgar/data/1277372/0001512805-24-000003.txt,AUM not found or could not be parsed
BARCLAYS PLC,13F-NT,312069,20240215,edgar/data/312069/0000312069-24-000017.txt,AUM not found or could not be parsed
BARCLAYS PLC,13F-NT,312069,20240215,edgar/data/312069/0000312069-24-000018.txt,AUM not found or could not be parsed
BARCLAYS PLC,13F-NT,312069,20240215,edgar/data/312069/0000312069-24-000021.txt,AUM not found or could not be parsed
BARCLAYS PLC,13F-NT,312069,20240215,edgar/data/312069/0000312069-24-000022.txt,AUM not found or could not be parsed
CREATIVE PLANNING TRUST Co LLC,13F-NT,1977052,20240216,edgar/data/1977052/0001977052-24-000002.txt,AUM not found or could not be parsed
BARCLAYS PLC,13F-NT,312069,20240215,edgar/data/312069/0000312069-24-000019.txt,AUM not found or could not be parsed
BARCLAYS PLC,13F-NT,312069,20240215,edgar/data/312069/0000312069-24-000020.txt,AUM not found or could not be parsed
BARCLAYS PLC,13F-NT,312069,20240215,edgar/data/312069/0000312069-24-000016.txt,AUM not found or could not be parsed
STATE FARM LIFE & ACCIDENT ASSURANCE CO,13F-NT,1121603,20240216,edgar/data/1121603/0000315032-24-000021.txt,AUM not found or could not be parsed
TRAVELERS INDEMNITY CO,13F-NT,937875,20240214,edgar/data/937875/0001104659-24-023597.txt,AUM not found or could not be parsed
CREATIVE PLANNING TRUST Co LLC,13F-NT,1977052,20240220,edgar/data/1977052/0001977052-24-000004.txt,AUM not found or could not be parsed
STATE FARM LIFE INSURANCE CO,13F-NT,900389,20240216,edgar/data/900389/0000315032-24-000020.txt,AUM not found or could not be parsed
"Pitcairn Financial Group, Inc",13F-NT,1315959,20240215,edgar/data/1315959/0001398344-24-003224.txt,AUM not found or could not be parsed
Spinnaker Asset Management - SAM Ltd,13F-NT,1426860,20240220,edgar/data/1426860/0000950123-24-002698.txt,AUM not found or could not be parsed
GENERAL RE CORP,13F-NT,317745,20240214,edgar/data/317745/0000950123-24-002564.txt,AUM not found or could not be parsed
VIRTU AMERICAS LLC,13F-NT,1457716,20240226,edgar/data/1457716/0001457716-24-000002.txt,AUM not found or could not be parsed
AIG Capital Corp,13F-NT,1417296,20240228,edgar/data/1417296/0001104659-24-028777.txt,AUM not found or could not be parsed
Zhou Ran,13F-NT,2012739,20240301,edgar/data/2012739/0001012975-24-000124.txt,AUM not found or could not be parsed
Forbion Growth Management B.V.,13F-NT,1918318,20240307,edgar/data/1918318/0001802806-24-000022.txt,AUM not found or could not be parsed
